id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1387919600138952705,1387907258630041601,2021-04-30 09:59:53 AEST,2021-04-30,09:59:53,+1000,2849469361,damianrabbitt,Damian Rabbitt,,@palmkat @mslcheng @LaTrioli @RadioNational @abcmelbourne 🤦‍♂️,und,[],[],[],0,0,0,[],[],https://twitter.com/DamianRabbitt/status/1387919600138952705,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'palmkat', 'name': 'Katrina Palmer', 'id': '246163487'}, {'screen_name': 'mslcheng', 'name': 'Melanie Cheng', 'id': '3183921984'}, {'screen_name': 'LaTrioli', 'name': 'Virginia Trioli', 'id': '40068395'}, {'screen_name': 'RadioNational', 'name': 'ABC Radio National', 'id': '19940915'}, {'screen_name': 'abcmelbourne', 'name': 'ABC Melbourne', 'id': '16093222'}]",,,,
1387919557059256322,1387891449459527680,2021-04-30 09:59:43 AEST,2021-04-30,09:59:43,+1000,860533549,juanli324,李隽,,@mikezha54219229 @yuzhouzhihui 这就更幽默了！哈哈！,zh,[],[],[],0,0,5,[],[],https://twitter.com/juanli324/status/1387919557059256322,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'mikezha54219229', 'name': 'mike zhang', 'id': '866150405906018304'}, {'screen_name': 'yuzhouzhihui', 'name': '宇宙智慧', 'id': '1219447426018430976'}]",,,,
1387919467330506752,1387919281636139008,2021-04-30 09:59:21 AEST,2021-04-30,09:59:21,+1000,1021720398717566976,kyliewarren_co,Kylie - Mental Health Therapist 🇦🇺,,@bigphatdonk Hahaha what?,tl,[],[],[],0,0,0,[],[],https://twitter.com/kyliewarren_co/status/1387919467330506752,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'bigphatdonk', 'name': 'the ghost of h.r. pickens', 'id': '1146384187651493891'}]",,,,
1387919451190820867,1387918666470105088,2021-04-30 09:59:18 AEST,2021-04-30,09:59:18,+1000,1184692549551738880,prashan46444413,Public knows...,,@SayNoToSino Good.. bring Indians... they are not given visa easily... even tourist ones are hard to come by... Indians can easily compensate for any losses in this industry... if only some politicians were not compromised to China,en,[],[],[],0,0,4,[],[],https://twitter.com/Prashan46444413/status/1387919451190820867,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'SayNoToSino', 'name': 'Say No To Sino', 'id': '1257878321901137920'}]",,,,
1387919319711977474,1387907689599012868,2021-04-30 09:58:46 AEST,2021-04-30,09:58:46,+1000,860533549,juanli324,李隽,,@kittenkittengo 哈哈！一定有人为你风情万种！,zh,[],[],[],0,0,0,[],[],https://twitter.com/juanli324/status/1387919319711977474,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'kittenkittengo', 'name': '小貓快跑', 'id': '1181802087417597953'}]",,,,
1387919303287074820,1387808784387555329,2021-04-30 09:58:42 AEST,2021-04-30,09:58:42,+1000,1190455015418155008,klm17749472,KLM,,@NBCNews Don’t want to burst the love bubble but that’s not a dandelion 😢 🌼. here in Australia I call them Father Christmas whiskers. U blow on them and they fly away. My 3yo granddaughter did just than yesterday on our walk 🥰,en,[],[],[],1,0,3,[],[],https://twitter.com/KLM17749472/status/1387919303287074820,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'NBCNews', 'name': 'NBC News', 'id': '14173315'}]",,,,
1387919291090046977,1387847804270350346,2021-04-30 09:58:39 AEST,2021-04-30,09:58:39,+1000,616163385,lukedelmo,luke delmo 🇦🇺,,"@SydneyLWatson Agree Sydney. Will these parents pay extra for me in retirement in exchange for me paying them now? Of course not, so they can fk off.",en,[],[],[],0,0,4,[],[],https://twitter.com/LukeDelmo/status/1387919291090046977,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'SydneyLWatson', 'name': 'Sydney Watson', 'id': '962650783182331904'}]",,,,
1387919272802799620,1387676924185432069,2021-04-30 09:58:35 AEST,2021-04-30,09:58:35,+1000,399227325,heathro37,Heath Linton,,@SamJaneLane @Ticketmaster @PalaisTheatre @SaxtonSpeakers @NBA @BasketballAus @chicagobulls @Timberwolves @nyknicks @Suns @PerthWildcats Me too :),en,[],[],[],0,0,0,[],[],https://twitter.com/heathro37/status/1387919272802799620,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'SamJaneLane', 'name': 'Sam Lane', 'id': '54805025'}, {'screen_name': 'Ticketmaster', 'name': 'Ticketmaster', 'id': '27743648'}, {'screen_name': 'PalaisTheatre', 'name': 'PalaisTheatre', 'id': '15176498'}, {'screen_name': 'SaxtonSpeakers', 'name': 'Saxton Speakers', 'id': '56530785'}, {'screen_name': 'NBA', 'name': 'NBA', 'id': '19923144'}, {'screen_name': 'BasketballAus', 'name': 'Basketball Australia', 'id': '95540496'}, {'screen_name': 'chicagobulls', 'name': 'Chicago Bulls', 'id': '16212685'}, {'screen_name': 'Timberwolves', 'name': 'Minnesota Timberwolves', 'id': '20196159'}, {'screen_name': 'nyknicks', 'name': 'x - NEW YORK KNICKS', 'id': '20265254'}, {'screen_name': 'Suns', 'name': 'Phoenix Suns', 'id': '18481113'}, {'screen_name': 'PerthWildcats', 'name': 'Perth Wildcats', 'id': '47251363'}]",,,,
1387919210664263681,1387919210664263681,2021-04-30 09:58:20 AEST,2021-04-30,09:58:20,+1000,291697791,danielcherny,Daniel Cherny 📰,,Who are we? The Tigers! Who are we gonna beat! The Tigers!,en,[],[],[],3,3,98,[],[],https://twitter.com/DanielCherny/status/1387919210664263681,False,https://twitter.com/7AFL/status/1387918380385017856,0,,,"-37.80811,144.96071,50mi",,,,,[],,,,
1387919193169858560,1387919193169858560,2021-04-30 09:58:16 AEST,2021-04-30,09:58:16,+1000,75876648,darrell1001,Author Darrell Pitt,"{'type': 'Point', 'coordinates': [-37.818086, 144.966685]}",Reminders for readers writing tips @ Australia  https://t.co/aVtE4ku8Jz,en,[],['https://www.instagram.com/p/COROYgsDWMY/?igshid=1qws47vnesp8e'],[],0,0,0,[],[],https://twitter.com/darrell1001/status/1387919193169858560,False,,0,,,"-37.80811,144.96071,50mi",,,,,[],,,,
1387919184823160832,1387717266712657922,2021-04-30 09:58:14 AEST,2021-04-30,09:58:14,+1000,52993425,timothyj_23,Tim,,@shaexlily @taylahjade_ Funnily enough abc has a story on impostor syndrome this week...  Why you feel like an impostor at work and why it might never go away   https://t.co/N4xOV3VFW2,en,[],['https://www.abc.net.au/news/2021-04-24/emma-serisier-stempower-heywire-trailblazer-stem-women-impostor/100077232'],[],0,0,0,[],[],https://twitter.com/TimothyJ_23/status/1387919184823160832,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'shaexlily', 'name': 'Shae', 'id': '37153315'}, {'screen_name': 'taylahjade_', 'name': 'Tay ✨', 'id': '193590860'}]",,,,
1387919118364385280,1387369547640963080,2021-04-30 09:57:58 AEST,2021-04-30,09:57:58,+1000,1302782766279393280,deidre_lovell,Deidre Lovell LUGZ @Parachills Ltd,,@_badrick @CrucibleRefuge @Diane_Dee @central_spook @kellysangelo @StaceyBuzzActor @RobinA41 @Douglas95451670 @MO96192 @Spirit2Connect Oh wow that's amazing too,en,[],[],[],0,0,4,[],[],https://twitter.com/deidre_lovell/status/1387919118364385280,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': '_badrick', 'name': 'TIM', 'id': '1281550815845466114'}, {'screen_name': 'CrucibleRefuge', 'name': 'Crucible Refuge(Dee Martin)', 'id': '849827023'}, {'screen_name': 'Diane_Dee', 'name': 'Diane Richmond', 'id': '73473698'}, {'screen_name': 'central_spook', 'name': 'Spook Central Station 👻', 'id': '1348205185361793026'}, {'screen_name': 'kellysangelo', 'name': 'Kelly Angelo', 'id': '1209734329'}, {'screen_name': 'StaceyBuzzActor', 'name': 'Boston Actress %51 🚫 DM’S', 'id': '254539481'}, {'screen_name': 'RobinA41', 'name': 'Robin Adams', 'id': '86742083'}, {'screen_name': 'Douglas95451670', 'name': 'Douglas Morris', 'id': '1198505668195635200'}, {'screen_name': 'MO96192', 'name': 'MO', 'id': '1347922204026134529'}, {'screen_name': 'Spirit2Connect', 'name': 'Diane Dee', 'id': '1345154873701113857'}]",,,,
1387919009476059144,1387919009476059144,2021-04-30 09:57:32 AEST,2021-04-30,09:57:32,+1000,333219527,greghackett1,Greg Hackett,,Confucius say: bullsh*t 😄,en,[],[],[],0,0,0,[],[],https://twitter.com/GregHackett1/status/1387919009476059144,False,https://twitter.com/andrewprobyn/status/1387193498420482051,0,,,"-37.80811,144.96071,50mi",,,,,[],,,,
1387918963720425472,1387853568452055041,2021-04-30 09:57:21 AEST,2021-04-30,09:57:21,+1000,1184692549551738880,prashan46444413,Public knows...,,@AparBharat @microbesdrps Your Twitter name is the real truth... aparajit bharat,en,[],[],[],0,0,1,[],[],https://twitter.com/Prashan46444413/status/1387918963720425472,False,,0,,,"-37.80811,144.96071,50mi",,,,,"[{'screen_name': 'AparBharat', 'name': 'AParajit Bharat 😌', 'id': '125672370'}, {'screen_name': 'microbesdrps', 'name': 'প্রশান্ত শুক্লা', 'id': '1313760348294373376'}]",,,,
1387918947253510144,1387918947253510144,2021-04-30 09:57:17 AEST,2021-04-30,09:57:17,+1000,330757315,nukekitty,cedarpunk 2077 (verx),,the audacity of asking me to cover the 15 minutes I was late getting coffee on my last day  you're literally doing a 2 hr 'goodbye' lunch,en,[],[],[],2,0,4,[],[],https://twitter.com/nukekitty/status/1387918947253510144,False,,0,,,"-37.80811,144.96071,50mi",,,,,[],,,,
1387918932594491395,1387918932594491395,2021-04-30 09:57:14 AEST,2021-04-30,09:57:14,+1000,1294568517262401538,yingployyyy,มัมหมีน้องลั่ว 🍳มัมหมีน้องแพท ⭐️ ft.INTO1,,นั่งไถ่ทวิตแล้วเจอสปอยวาไรตี้ R1SE แล้วคือแบบ... ไม่กล้าดูเลยอ่ะ แต่ละคนบอกว่าเปียกปอน เขื่อนแตก โอ้ยยยยยยยยย ใจเจ็บนะ 🥺 ที่เงียบๆทำเป็นไม่สนใจคือ นี่ยังทำใจไม่ได้ไง 🥲 คนมันรักไปแล้วอ่ะ 😭😭,th,[],[],[],0,0,0,[],[],https://twitter.com/Yingployyyy/status/1387918932594491395,False,,0,,,"-37.80811,144.96071,50mi",,,,,[],,,,
1387918884129230850,1387918884129230850,2021-04-30 09:57:02 AEST,2021-04-30,09:57:02,+1000,18147028,victraffic,VicTraffic,"{'type': 'Point', 'coordinates': [-37.88891646, 145.16442061]}","Waverley Rd , Glen Waverley - Traffic Alert, Traffic is sharing the outbound lanes near Springvale…  https://t.co/uKsFuWs6XH #victraffic",en,[],['https://bit.ly/3e2jvVO'],[],0,0,0,['victraffic'],[],https://twitter.com/VicTraffic/status/1387918884129230850,False,,0,,,"-37.80811,144.96071,50mi",,,,,[],,,,
